cím;rendezo;gyarto;ev;hossz
Húsz óra;Fábri Zoltán;Magyarország;1965;108
Nemecsek a legnagyobb magyar hős;Kerékgyártó Yvonne;Magyarország;2018;11
Dúvad;Fábri Zoltán;Magyarország;1959;92
MFH 1969/7 - Így készül a színes film. A Pál utcai fiúk;Fehéri Tamás;Magyarország;1969;2
Dúvad próbafelvétel;Fábri Zoltán;Magyarország;1959;13
MFH 1965/30 - A húsz óra sikere Moszkvában;Csőke József;Magyarország;1965;2
A szelíd teremtés;Szergej Loznyica;Litvánia, Franciaország, Németország, Hollandia;2017;143
A naplemente ragyogása;Naomi Kawase;Japán, Franciaország;2017;101
Bob, a mester - Megamasinák;Stuart Evans;Egyesült Királyság;2017;63
Marshall - Állj ki az igazságért!;Reginald Hudlin;Amerikai Egyesült Államok;2017;118
Fekete Párduc;Ryan Coogler;Amerikai Egyesült Államok;2018;140
Gyilkolj vagy meghalsz;Sean Carter;Amerikai Egyesült Államok;2017;89
Derült égből család;Vincent Lobelle, Sébastien Thiery;Franciaország, Belgium;2017;85
A hűséges;Michaël R. Roskam;Belgium;2017;130
Ismael szellemei;Arnaud Desplechin;Franciaország;2017;114
LEGO DC Szuperhősök - Flash, a villám;Ethan Spaulding;Amerikai Egyesült Államok;2018;75
Bosszúvágy;Eli Roth;Amerikai Egyesült Államok;2018;107
Öröktűz I-II.;Jelenczki István;Magyarország;2017;95
Sztálin halála;Armando Iannucci;Egyesült Királyság, Franciaország;2017;106
Gringo;Nash Edgerton;Ausztrália, Amerikai Egyesült Államok;2018;110
Nyúl Péter;Will Gluck;Amerikai Egyesült Államok;2018;94
Égi Élő Igazság;Jelenczki István;Magyarország;2017;110
Mrs. Hyde ;Serge Bozon;Belgium, Franciaország;2017;95
Kísértettörténet;David Lowery;Amerikai Egyesült Államok;2017;92
A csillag;Timothy Reckart;Amerikai Egyesült Államok;2017;86
Jönnek a kacsák;Christopher Jenkins;Amerikai Egyesült Államok, Kína;2017;92
Vonat Busanba - Zombi expressz;Sang-ho Yeon;Dél-Korea;2016;118
A jogdoktor;Dan Gilroy;Amerikai Egyesült Államok;2017;122
A rossz árnyék;Jeles András;Magyarország;2017;96
Szellemek háza;Peter Spierig, Michael Spierig;Amerikai Egyesült Államok;2017;99
A párizsi vonat;Clint Eastwood;Amerikai Egyesült Államok;2018;94
Welcome;Dudás Balázs;Magyarország;2017;30
Vidéki randevú;Dudás Balázs;Magyarország;2016;20
Éliás a kis mentőhajó;Símen Alsvik, Will Ashurst;Norvégia;2017;73
Hívatlanok 2 - Éjjeli préda;Johannes Roberts;Amerikai Egyesült Államok;2018;85
Maja, a méhecske - A mézcsata;Sergio Delfino, Noel Cleary;Németország, Ausztrália;2018;85
Hozzám jössz, haver?;Tarek Boudali;Franciaország;2017;92
12 katona;Nicolai Fuglsig;Amerikai Egyesült Államok;2018;130
Táncterápia;Richard Loncraine;Egyesült Királyság;2017;111
Éjjeli napfény;Scott Speer;Amerikai Egyesült Államok;2018;91
Halálfutam 4;Don Michael Paul;Bulgária, Amerikai Egyesült Államok;2018;111
Sherlock Gnomes;John Stevenson;Amerikai Egyesült Államok;2018;90
Tűzgyűrű: Lázadás;Steven S. DeKnight;Amerikai Egyesült Államok;2018;111
Mária Magdolna;Garth Davis;Amerikai Egyesült Államok;2018;120
Kszi, Simon;Greg Berlanti;Amerikai Egyesült Államok;2018;110
Tomb Raider;Roar Uthaug;Egyesült Királyság, Amerikai Egyesült Államok;2018;118
Galícia földje borul reám…;Deák Szonja;Magyarország;2018;75
Titkos ablak;David Koepp;Amerikai Egyesült Államok;2004;96
Betörő az albérlőm;Joel Coen, Ethan Coen;Amerikai Egyesült Államok;2004;104
Harry Potter és az azkabani fogoly;Alfonso Cuarón;Egyesült Királyság, Amerikai Egyesült Államok;2004;142
Szüzet szüntess!;Luke Greenfield;Amerikai Egyesült Államok;2004;108
Megtorló;Jonathan Hensleigh;Németország, Amerikai Egyesült Államok;2004;124
A tűz óceánja;Joe Johnston;Amerikai Egyesült Államok;2004;136
A legelő hősei;Will Finn;Amerikai Egyesült Államok;2004;76
Hirtelen 30;Gary Winick;Amerikai Egyesült Államok;2004;98
